Selling_Price,Present_Price,Kms_Driven,Transmission,Owner,Age,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Dealer,Seller_Type_Individual
0.55,0.84,58000,1,0,5,0,0,1,0,1
0.52,0.94,45000,1,0,10,0,0,1,0,1
0.51,0.94,24000,1,0,4,0,0,1,0,1
0.5,0.826,6000,1,0,9,0,0,1,0,1
0.5,0.55,31000,1,0,4,0,0,1,0,1
0.5,0.99,13000,1,0,8,0,0,1,0,1
0.5,0.99,45000,1,0,7,0,0,1,0,1
0.5,0.88,8000,1,0,6,0,0,1,0,1
0.48,0.51,4300,0,0,3,0,0,1,0,1
0.48,0.52,15000,1,0,3,0,0,1,0,1
0.48,0.84,23000,1,0,5,0,0,1,0,1
0.48,0.54,8600,1,0,3,0,0,1,0,1
0.45,0.51,4000,0,0,3,0,0,1,0,1
0.45,0.95,24000,1,0,9,0,0,1,0,1
0.45,0.826,23000,1,0,6,0,0,1,0,1
0.45,0.99,14500,1,0,8,0,0,1,0,1
0.45,0.95,27000,1,0,10,0,0,1,0,1
0.45,0.54,14000,1,0,4,0,0,1,0,1
0.45,0.54,500,0,0,4,0,0,1,0,1
0.45,0.55,1000,1,0,4,0,0,1,0,1
0.42,0.81,42000,1,0,6,0,0,1,0,1
0.42,0.73,12000,1,0,7,0,0,1,0,1
0.4,0.54,14000,1,0,5,0,0,1,0,1
0.4,0.83,5500,1,0,8,0,0,1,0,1
0.4,0.55,6700,1,0,5,0,0,1,0,1
0.4,0.64,13700,1,0,6,0,0,1,0,1
0.4,0.51,1300,0,0,3,0,0,1,0,1
0.38,0.72,38600,1,0,5,0,0,1,0,1
0.38,0.787,75000,1,0,9,0,0,1,0,1
0.35,1.05,30000,1,0,9,0,0,1,0,1
0.35,0.57,24000,0,0,4,0,0,1,0,1
0.35,0.52,19000,0,0,6,0,0,1,0,1
0.3,0.51,60000,1,0,8,0,0,1,0,1
0.3,0.48,50000,1,0,4,0,0,1,0,1
0.3,0.58,30000,1,0,7,0,0,1,0,1
0.27,0.47,21000,1,0,7,0,0,1,0,1
0.25,0.75,26000,1,1,12,0,0,1,0,1
0.25,0.58,1900,0,0,12,0,0,1,0,1
0.25,0.52,22000,0,0,10,0,0,1,0,1
0.25,0.51,32000,1,0,7,0,0,1,0,1
0.25,0.57,18000,1,0,7,0,0,1,0,1
0.2,0.75,60000,1,0,12,0,0,1,0,1
0.2,0.57,25000,1,1,8,0,0,1,0,1
0.2,0.75,49000,1,1,13,0,0,1,0,1
0.2,0.65,24000,1,1,7,0,0,1,0,1
0.2,0.787,50000,1,0,12,0,0,1,0,1
0.18,0.32,35000,1,0,5,0,0,1,0,1
0.16,0.51,33000,1,0,10,0,0,1,0,1
0.15,0.57,35000,1,1,9,0,0,1,0,1
0.12,0.58,53000,1,0,13,0,0,1,0,1
3.25,6.79,58000,1,1,10,0,1,0,1,0
4.4,5.7,28200,1,0,5,0,0,1,1,0
2.95,4.6,53460,1,0,9,0,0,1,1,0
2.75,4.43,28282,1,0,5,0,0,1,1,0
5.25,5.7,3493,1,1,4,0,0,1,1,0
5.75,7.13,12479,1,0,3,0,0,1,1,0
5.15,5.7,34797,0,0,5,0,0,1,1,0
7.9,8.1,3435,1,0,3,0,0,1,1,0
4.85,5.7,21125,1,0,5,0,1,0,1,0
3.1,4.6,35775,1,0,8,0,0,1,1,0
11.75,14.79,43535,1,0,5,0,1,0,1,0
11.25,13.6,22671,1,0,4,0,0,1,1,0
2.9,6.79,31604,1,0,9,0,0,1,1,0
5.25,5.7,20114,1,0,3,0,0,1,1,0
4.5,9.4,36100,1,0,8,0,0,1,1,0
2.9,4.43,12500,1,0,4,0,0,1,1,0
3.15,4.43,15000,1,0,4,0,0,1,1,0
6.45,9.4,45078,1,0,6,0,0,1,1,0
4.5,9.4,36000,1,0,8,0,0,1,1,0
3.5,4.43,38488,1,0,3,0,0,1,1,0
4.5,6.79,32000,0,0,7,0,0,1,1,0
6.0,7.6,77632,1,0,6,0,1,0,1,0
8.25,9.4,61381,1,0,5,0,1,0,1,0
5.11,9.4,36198,0,0,7,0,0,1,1,0
2.7,4.6,22517,1,0,9,0,0,1,1,0
5.25,5.7,24678,1,0,5,0,0,1,1,0
2.55,4.43,57000,1,0,9,0,0,1,1,0
4.95,9.4,60000,1,0,8,0,1,0,1,0
3.1,6.79,52132,1,0,8,0,1,0,1,0
6.15,9.4,45000,1,0,7,0,1,0,1,0
9.25,9.4,15001,1,0,3,0,0,1,1,0
11.45,14.79,12900,0,0,5,0,0,1,1,0
3.9,5.7,53000,1,0,7,0,1,0,1,0
5.5,5.7,4492,1,0,5,0,0,1,1,0
9.1,9.4,15141,1,0,3,0,0,1,1,0
3.1,4.43,11849,1,0,4,0,0,1,1,0
11.25,13.6,68000,1,0,5,0,1,0,1,0
4.8,9.4,60241,1,0,7,0,0,1,1,0
2.0,4.43,23709,1,0,8,0,0,1,1,0
5.35,9.4,32322,1,0,8,0,1,0,1,0
4.75,7.13,35866,1,1,5,0,0,1,1,0
4.4,7.13,34000,1,0,6,0,0,1,1,0
6.25,7.6,7000,1,0,4,0,0,1,1,0
5.95,9.4,49000,1,0,7,0,1,0,1,0
5.2,9.4,71000,1,0,8,0,1,0,1,0
3.75,6.79,35000,1,0,8,0,0,1,1,0
5.95,9.4,36000,1,0,5,0,0,1,1,0
4.0,4.6,30000,1,0,7,0,0,1,1,0
5.25,7.6,17000,1,0,4,0,0,1,1,0
12.9,13.6,35934,1,0,4,0,1,0,1,0
5.0,9.9,56701,1,0,7,0,0,1,1,0
5.4,6.82,31427,0,0,5,0,0,1,1,0
7.2,9.9,48000,1,0,6,0,1,0,1,0
5.25,9.9,54242,1,0,7,0,0,1,1,0
3.0,5.35,53675,1,0,8,0,0,1,1,0
10.25,13.6,49562,1,0,4,0,0,1,1,0
8.5,13.6,40324,1,0,5,0,0,1,1,0
8.4,13.6,25000,1,0,5,0,0,1,1,0
3.9,7.0,36054,1,0,6,0,0,1,1,0
9.15,13.6,29223,1,0,4,0,0,1,1,0
5.5,5.97,5600,1,0,4,0,0,1,1,0
4.0,5.8,40023,1,0,5,0,0,1,1,0
6.6,7.7,16002,1,0,4,0,0,1,1,0
4.0,7.0,40026,1,0,5,0,0,1,1,0
6.5,8.7,21200,1,0,3,0,0,1,1,0
3.65,7.0,35000,1,0,6,0,0,1,1,0
8.35,9.4,19434,1,0,4,0,1,0,1,0
4.8,5.8,19000,1,0,3,0,0,1,1,0
6.7,10.0,18828,1,0,5,0,0,1,1,0
4.1,10.0,69341,1,0,9,0,0,1,1,0
3.0,10.0,69562,1,0,11,0,0,1,1,0
7.5,10.0,27600,1,0,5,0,0,1,1,0
2.25,7.5,61203,1,0,10,0,0,1,1,0
5.3,6.8,16500,1,0,6,0,0,1,1,0
10.9,13.6,30753,0,0,4,0,0,1,1,0
8.65,13.6,24800,1,0,5,0,0,1,1,0
9.7,13.6,21780,1,0,5,0,0,1,1,0
6.0,8.4,4000,1,0,4,0,0,1,1,0
6.25,13.6,40126,1,0,6,0,0,1,1,0
5.25,5.9,14465,1,0,5,0,0,1,1,0
8.25,14.0,63000,1,0,6,0,1,0,1,0
8.99,11.8,9010,1,0,4,0,0,1,1,0
3.5,5.9,9800,1,0,7,0,0,1,1,0
7.4,8.5,15059,0,0,4,0,0,1,1,0
5.65,7.9,28569,1,0,4,0,0,1,1,0
5.75,7.5,44000,0,0,5,0,0,1,1,0
8.4,13.6,34000,1,0,5,0,0,1,1,0
10.11,13.6,10980,1,0,4,0,0,1,1,0
4.5,6.4,19000,1,0,6,0,0,1,1,0
5.4,6.1,31427,1,0,5,0,0,1,1,0
6.4,8.4,12000,1,0,4,0,0,1,1,0
3.25,9.9,38000,1,0,10,0,0,1,1,0
3.75,6.8,33019,1,0,6,0,0,1,1,0
8.55,13.09,60076,1,0,5,0,1,0,1,0
9.5,11.6,33988,1,0,4,0,1,0,1,0
4.0,5.9,60000,1,0,5,0,0,1,1,0
3.35,11.0,87934,1,0,11,0,0,1,1,0
11.5,12.5,9000,1,0,3,0,1,0,1,0
5.3,5.9,5464,1,0,4,0,0,1,1,0
